"zipcode","description","garageSpaces","hasAssociation","hasGarage","hasSpa","hasView","yearBuilt","latestPrice","latest_salemonth","latest_saleyear","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories","orig.id"
"78756","Owner will finance. 711 E. McHarg Stamford, TX 3/1 $39,900. Nice starter home with detached garage and updated bath. Broker/Owner Abode Central",1,"FALSE","TRUE","FALSE","FALSE",1940,21.5,"10",2019,14,"0",1,3,0,0,0,0,0,12196.8,1312,1.03333333333333,7,1177,16,1,3,1,"13494"
"78702","1807 New York Ave, Austin, TX 78702 is a single family home that contains 1,179 sq ft and was built in 1939. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $704,504. The Rent Zestimate for this home is $2,295/mo.",1,"FALSE","TRUE","FALSE","FALSE",1939,600,"6",2019,1,"0",0,2,0,0,0,0,0,10018,1179,1.03333333333333,5,697,11,2,3,1,"8597"
"78745","South Congress gem, with backyard oasis. Nicely updated single story, 3/2, open concept living/dining, neutral paint, laminate floors, granite counters, tile backsplash. See improvements list. Added 320 sq ft screened outdoor living space. Amazing back yard, xeriscaped, raised veggie beds & texas natives for low maintenance & watering.  Under 5mi to DT, close to St. Elmo/Yard, Southpark Meadows for shopping, dining and entertainment. Mary Moore Searight park nearby for nature lovers.",0,"FALSE","FALSE","FALSE","FALSE",1978,329.9,"7",2019,30,"0",8,1,3,2,0,1,0,7797,1309,0.933333333333333,3.33333333333333,926,13,2,3,1,"9246"
"78704","Amazing location in Zilker neighborhood. Zilker Park, Barton Springs Pool, Barton Creek Green Belt, restaurants, entertainment and more right out your front door. DOWNTOWN VIEWS! Sale includes a complete set of plans for a modern home (shown in the pictures) or bring your own plans. Adjacent lot also available (1405 Rabb). Broker/Owner",2,"FALSE","TRUE","FALSE","TRUE",2019,2100,"2",2020,42,"0",3,2,2,1,0,0,0,9104,3360,1.06666666666667,6.66666666666667,1226,16,5,4,3,"12207"
"78739","None",2,"TRUE","TRUE","FALSE","FALSE",2002,550,"7",2019,34,"0",8,2,1,0,0,1,0,10890,2997,1.53333333333333,8.66666666666667,1664,18,3,4,2,"12051"
"78703","Walking distance to Casis Elementary, neighborhood retail, and Starbucks; this timeless new build is a high-caliber, custom design with total perfection in mind. Perfect outdoor living experience with heated pool, spa and workout casita with full bath connected to the conditioned 2-car garage with electric car connections. Spray foam insulation, tankless water systems, and fully automated wifi lighting and mechanical systems. Herringbone oak floors, marble and calcutta gold finishes, floor safe, and subzero and wolf appliances package with butler pantry create a turn-key 5-star experience only minutes from downtown.",0,"FALSE","FALSE","FALSE","FALSE",2016,2595,"2",2020,49,"0",2,1,1,0,0,0,0,11761.2,4744,1.13333333333333,7,1298,16,7,6,2,"12826"
"78723","Beautifully remodeled home on treed lot with inviting pool and deck in large backyard. Large kitchen with granite countertops and breakfast bar open to family room. Living room, office or dining room, you choose. Plantation shutters. Plumbing and electrical upgrades, insulation added in attic, app controlled irrigation system front and back. Dry off in the garage/mudroom after a relaxing swim in the pool.  Easy access to Mueller neighborhood parks and shopping, major highways, ABIA. Please wear a mask.",3,"FALSE","TRUE","FALSE","FALSE",1967,215,"9",2020,53,"0",4,2,0,0,0,0,0,10890,1352,1.16666666666667,3.33333333333333,569,13,2,3,1,"10347"
"78744","Located on a corner homesite. A small porch welcomes you to this four bedroom home. Library with French doors is set at the front of this home. Spacious kitchen with lots of counter space and an island with built-in seating space. Open family room with a wall of windows. Large private master bedroom has three windows. Double doors from the master bedroom lead to the master bath. Master bath feature two vanities, a garden tub, a separate glass-enclosed shower and two large walk-in closets. Mud room leads to the two-car garage. Covered backyard patio.",2,"TRUE","TRUE","FALSE","FALSE",2019,429.9,"9",2019,2,"0",0,1,0,0,0,0,0,7152,2433,3.5,3.66666666666667,1532,12,3,4,1,"499"
"78748","Inviting cul-de-sac home featuring a beautiful lot with Synthetic Turf in the front and the back yard with covered patio, landscaped for privacy, relaxing & entertaining. Backs up to no neighbors. Kitchen features sleek stainless steel appliances, lots of cabinet storage, tile backsplash, granite counters & center island. Family room features gas log fireplace. Custom tile floors and plantation shutters throughout. All bedrooms, including primary suite, are on second level. Ultra-convenient, minutes to Downtown, Southpark Meadows shopping center, and more. A must see to appreciate!",4,"TRUE","TRUE","TRUE","FALSE",2009,387.5,"11",2020,31,"0",5,2,3,3,0,0,0,5749,2029,1,3.33333333333333,1374,14,3,4,2,"6193"
"78702","2619 Willow St, Austin, TX 78702 is a single family home that contains 1,850 sq ft and was built in 2016. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $805,274. The Rent Zestimate for this home is $3,500/mo.",1,"TRUE","TRUE","FALSE","TRUE",2016,669,"4",2018,30,"0",4,3,0,0,0,0,0,3310,1850,1.2,3.66666666666667,396,10,3,4,2,"9047"
