"","Date","Adj_Close","Period"
"1","2-Jan-24",345.25,1
"2","3-Jan-24",343.44,2
"3","4-Jan-24",346.08,3
"4","5-Jan-24",350.89,4
"5","8-Jan-24",357.58,5
"6","9-Jan-24",356.36,6
"7","10-Jan-24",369.36,7
"8","11-Jan-24",368.56,8
"9","12-Jan-24",373.37,9
"10","16-Jan-24",366.36,10
"11","17-Jan-24",367.26,11
"12","18-Jan-24",375,12
"13","19-Jan-24",382.3,13
"14","22-Jan-24",380.63,14
"15","23-Jan-24",384.04,15
"16","24-Jan-24",389.53,16
"17","25-Jan-24",392,17
"18","26-Jan-24",392.96,18
"19","29-Jan-24",399.82,19
"20","30-Jan-24",398.86,20
"21","31-Jan-24",388.97,21
"22","1-Feb-24",393.59,22
"23","2-Feb-24",473.56,23
"24","5-Feb-24",458.03,24
"25","6-Feb-24",453.35,25
"26","7-Feb-24",468.18,26
"27","8-Feb-24",468.59,27
"28","9-Feb-24",466.7,28
"29","12-Feb-24",467.49,29
"30","13-Feb-24",458.74,30
"31","14-Feb-24",471.86,31
"32","15-Feb-24",482.58,32
"33","16-Feb-24",471.9,33
"34","20-Feb-24",470.33,34
"35","21-Feb-24",467.12,35
"36","22-Feb-24",485.18,36
"37","23-Feb-24",483.09,37
"38","26-Feb-24",480.8,38
"39","27-Feb-24",486.1,39
"40","28-Feb-24",483.08,40
"41","29-Feb-24",489.18,41
"42","1-Mar-24",501.32,42
"43","4-Mar-24",497.22,43
"44","5-Mar-24",489.27,44
"45","6-Mar-24",495.13,45
"46","7-Mar-24",511.19,46
"47","8-Mar-24",504.97,47
"48","11-Mar-24",482.65,48
"49","12-Mar-24",498.78,49
"50","13-Mar-24",494.61,50
"51","14-Mar-24",490.87,51
"52","15-Mar-24",483.16,52
"53","18-Mar-24",496.01,53
"54","19-Mar-24",495.28,54
"55","20-Mar-24",504.54,55
"56","21-Mar-24",506.77,56
"57","22-Mar-24",508.59,57
"58","25-Mar-24",502.04,58
"59","26-Mar-24",494.93,59
"60","27-Mar-24",492.9,60
"61","28-Mar-24",484.64,61
"62","1-Apr-24",490.39,62
"63","2-Apr-24",496.4,63
"64","3-Apr-24",505.75,64
"65","4-Apr-24",509.93,65
"66","5-Apr-24",526.31,66
"67","8-Apr-24",518.24,67
"68","9-Apr-24",515.9,68
"69","10-Apr-24",518.82,69
"70","11-Apr-24",522.14,70
"71","12-Apr-24",510.9,71
"72","15-Apr-24",499.26,72
"73","16-Apr-24",498.79,73
"74","17-Apr-24",493.21,74
"75","18-Apr-24",500.82,75
"76","19-Apr-24",480.13,76
"77","22-Apr-24",480.79,77
"78","23-Apr-24",495.14,78
"79","24-Apr-24",492.54,79
"80","25-Apr-24",440.52,80
"81","26-Apr-24",442.43,81
"82","29-Apr-24",431.78,82
"83","30-Apr-24",429.33,83
"84","1-May-24",438.34,84
"85","2-May-24",440.82,85
"86","3-May-24",451.08,86
"87","6-May-24",464.77,87
"88","7-May-24",467.33,88
"89","8-May-24",471.68,89
"90","9-May-24",474.5,90
"91","10-May-24",475.27,91
"92","13-May-24",467.1,92
"93","14-May-24",470.93,93
"94","15-May-24",480.6,94
"95","16-May-24",472.31,95
"96","17-May-24",470.99,96
"97","20-May-24",467.93,97
"98","21-May-24",463.73,98
"99","22-May-24",466.87,99
"100","23-May-24",464.87,100
"101","24-May-24",477.29,101
"102","28-May-24",478.99,102
"103","29-May-24",473.44,103
"104","30-May-24",466.14,104
"105","31-May-24",465.92,105
"106","3-Jun-24",476.56,106
"107","4-Jun-24",476.06,107
"108","5-Jun-24",494.1,108
"109","6-Jun-24",492.8,109
"110","7-Jun-24",492,110
"111","10-Jun-24",501.62,111
"112","11-Jun-24",506.48,112
"113","12-Jun-24",507.85,113
"114","13-Jun-24",503.12,114
"115","14-Jun-24",503.68,115
"116","17-Jun-24",506.15,116
"117","18-Jun-24",499.01,117
"118","20-Jun-24",501.22,118
"119","21-Jun-24",494.31,119
"120","24-Jun-24",498.43,120
"121","25-Jun-24",510.11,121
"122","26-Jun-24",512.63,122
"123","27-Jun-24",519.06,123
"124","28-Jun-24",503.74,124
"125","1-Jul-24",504.2,125
"126","2-Jul-24",509.01,126
"127","3-Jul-24",509.47,127
"128","5-Jul-24",539.4,128
"129","8-Jul-24",528.82,129
"130","9-Jul-24",529.49,130
"131","10-Jul-24",534.18,131
"132","11-Jul-24",512.21,132
"133","12-Jul-24",498.39,133
"134","15-Jul-24",495.69,134
"135","16-Jul-24",489.32,135
"136","17-Jul-24",461.55,136
"137","18-Jul-24",475.4,137
"138","19-Jul-24",476.34,138
"139","22-Jul-24",486.94,139
"140","23-Jul-24",488.22,140
"141","24-Jul-24",460.83,141
"142","25-Jul-24",452.98,142
"143","26-Jul-24",465.26,143
"144","29-Jul-24",465.27,144
"145","30-Jul-24",462.75,145
"146","31-Jul-24",474.38,146
"147","1-Aug-24",497.27,147
"148","2-Aug-24",487.67,148
"149","5-Aug-24",475.28,149
"150","6-Aug-24",493.62,150
"151","7-Aug-24",488.45,151
"152","8-Aug-24",509.14,152
"153","9-Aug-24",517.28,153
"154","12-Aug-24",515.46,154
"155","13-Aug-24",528.04,155
"156","14-Aug-24",526.26,156
"157","15-Aug-24",536.82,157
"158","16-Aug-24",526.92,158
"159","19-Aug-24",528.78,159
"160","20-Aug-24",526.23,160
"161","21-Aug-24",534.65,161
"162","22-Aug-24",531.42,162
"163","23-Aug-24",527.5,163
"164","26-Aug-24",520.62,164
"165","27-Aug-24",518.61,165
"166","28-Aug-24",516.29,166
"167","29-Aug-24",517.73,167
"168","30-Aug-24",520.81,168
"169","3-Sep-24",511.27,169
"170","4-Sep-24",512.25,170
"171","5-Sep-24",516.37,171
"172","6-Sep-24",499.79,172
"173","9-Sep-24",504.31,173
"174","10-Sep-24",504.31,174
"175","11-Sep-24",511.34,175
"176","12-Sep-24",525.1,176
"177","13-Sep-24",524.12,177
"178","16-Sep-24",533.28,178
"179","17-Sep-24",536.32,179
"180","18-Sep-24",537.95,180
"181","19-Sep-24",559.1,181
"182","20-Sep-24",561.35,182
"183","23-Sep-24",564.41,183
"184","24-Sep-24",563.33,184
