"X","name","ethnicity","call","city","quality"
1,"Allison","white","no","chicago","low"
2,"Kristen","white","no","chicago","high"
3,"Lakisha","black","no","chicago","low"
4,"Latonya","black","no","chicago","high"
5,"Carrie","white","no","chicago","high"
6,"Jay","white","no","chicago","low"
7,"Jill","white","no","chicago","high"
8,"Kenya","black","no","chicago","high"
9,"Latonya","black","no","chicago","low"
10,"Tyrone","black","no","chicago","high"
11,"Aisha","black","no","chicago","high"
12,"Allison","white","no","chicago","high"
13,"Aisha","black","no","chicago","low"
14,"Carrie","white","no","chicago","low"
15,"Aisha","black","no","chicago","high"
16,"Geoffrey","white","no","chicago","low"
17,"Matthew","white","no","chicago","high"
18,"Tamika","black","no","chicago","low"
19,"Jill","white","no","chicago","high"
20,"Latonya","black","no","chicago","low"
21,"Leroy","black","no","chicago","high"
22,"Todd","white","no","chicago","low"
23,"Allison","white","no","chicago","low"
24,"Carrie","white","no","chicago","low"
25,"Greg","white","no","chicago","high"
26,"Keisha","black","no","chicago","low"
27,"Keisha","black","no","chicago","high"
28,"Kristen","white","no","chicago","high"
29,"Lakisha","black","no","chicago","high"
30,"Tamika","black","no","chicago","low"
31,"Allison","white","no","chicago","low"
32,"Keisha","black","no","chicago","low"
33,"Kristen","white","no","chicago","high"
34,"Latonya","black","no","chicago","high"
35,"Brad","white","no","chicago","low"
36,"Jill","white","no","chicago","high"
37,"Keisha","black","no","chicago","low"
38,"Keisha","black","no","chicago","low"
39,"Lakisha","black","no","chicago","high"
40,"Laurie","white","no","chicago","high"
41,"Meredith","white","no","chicago","low"
42,"Tyrone","black","no","chicago","high"
43,"Anne","white","no","chicago","high"
44,"Emily","white","no","chicago","low"
45,"Latoya","black","no","chicago","low"
46,"Tamika","black","no","chicago","high"
47,"Brad","white","no","chicago","high"
48,"Latoya","black","no","chicago","high"
49,"Kristen","white","no","chicago","low"
50,"Latonya","black","no","chicago","high"
51,"Latoya","black","no","chicago","low"
52,"Laurie","white","no","chicago","high"
53,"Allison","white","no","chicago","low"
54,"Ebony","black","no","chicago","low"
55,"Jay","white","no","chicago","high"
56,"Keisha","black","no","chicago","high"
57,"Laurie","white","no","chicago","high"
58,"Tyrone","black","no","chicago","high"
59,"Anne","white","no","chicago","low"
60,"Lakisha","black","no","chicago","high"
61,"Latonya","black","no","chicago","low"
62,"Meredith","white","no","chicago","high"
63,"Allison","white","no","chicago","high"
64,"Carrie","white","no","chicago","low"
65,"Ebony","black","no","chicago","high"
66,"Kenya","black","no","chicago","low"
67,"Lakisha","black","no","chicago","high"
68,"Laurie","white","no","chicago","high"
69,"Aisha","black","no","chicago","high"
70,"Anne","white","no","chicago","low"
71,"Brendan","white","no","chicago","high"
72,"Hakim","black","no","chicago","high"
73,"Latoya","black","no","chicago","low"
74,"Laurie","white","no","chicago","low"
75,"Laurie","white","no","chicago","high"
76,"Leroy","black","no","chicago","low"
77,"Anne","white","no","chicago","high"
78,"Kenya","black","no","chicago","high"
79,"Latonya","black","no","chicago","low"
80,"Meredith","white","no","chicago","low"
81,"Jamal","black","no","chicago","low"
82,"Matthew","white","no","chicago","high"
83,"Neil","white","no","chicago","low"
84,"Tyrone","black","no","chicago","high"
85,"Leroy","black","no","chicago","high"
86,"Todd","white","call","chicago","high"
87,"Brad","white","no","chicago","low"
88,"Ebony","black","no","chicago","low"
89,"Jill","white","no","chicago","low"
90,"Kristen","white","no","chicago","high"
91,"Lakisha","black","no","chicago","high"
92,"Matthew","white","no","chicago","high"
93,"Tamika","black","no","chicago","high"
94,"Tremayne","black","no","chicago","low"
95,"Aisha","black","no","chicago","high"
96,"Brett","white","call","chicago","high"
97,"Darnell","black","no","chicago","high"
98,"Emily","white","no","chicago","high"
99,"Latonya","black","no","chicago","low"
100,"Sarah","white","no","chicago","low"
101,"Aisha","black","no","chicago","high"
102,"Anne","white","no","chicago","high"
103,"Jermaine","black","no","chicago","high"
104,"Neil","white","no","chicago","high"
105,"Allison","white","no","chicago","high"
106,"Anne","white","call","chicago","high"
107,"Keisha","black","no","chicago","high"
108,"Latonya","black","call","chicago","high"
109,"Latonya","black","no","chicago","high"
110,"Laurie","white","no","chicago","high"
111,"Jay","white","no","chicago","high"
112,"Lakisha","black","no","chicago","high"
113,"Anne","white","no","chicago","low"
114,"Keisha","black","no","chicago","low"
115,"Kristen","white","no","chicago","high"
116,"Lakisha","black","no","chicago","high"
117,"Allison","white","no","chicago","high"
118,"Ebony","black","no","chicago","high"
119,"Keisha","black","no","chicago","low"
120,"Kristen","white","no","chicago","low"
121,"Lakisha","black","no","chicago","low"
122,"Meredith","white","no","chicago","low"
123,"Allison","white","no","chicago","low"
124,"Kristen","white","no","chicago","high"
125,"Lakisha","black","no","chicago","low"
126,"Lakisha","black","no","chicago","high"
127,"Tanisha","black","call","chicago","high"
128,"Todd","white","call","chicago","high"
129,"Aisha","black","no","chicago","high"
130,"Anne","white","no","chicago","high"
131,"Jill","white","no","chicago","low"
132,"Latoya","black","no","chicago","high"
133,"Neil","white","no","chicago","high"
134,"Tamika","black","no","chicago","low"
135,"Anne","white","no","chicago","high"
136,"Geoffrey","white","no","chicago","high"
137,"Latoya","black","no","chicago","high"
138,"Rasheed","black","no","chicago","high"
139,"Aisha","black","no","chicago","low"
140,"Allison","white","no","chicago","high"
141,"Carrie","white","no","chicago","low"
142,"Ebony","black","no","chicago","low"
143,"Kenya","black","no","chicago","high"
144,"Kristen","white","no","chicago","low"
145,"Jermaine","black","no","chicago","low"
146,"Laurie","white","no","chicago","low"
147,"Allison","white","no","chicago","low"
148,"Kristen","white","no","chicago","high"
149,"Lakisha","black","no","chicago","low"
150,"Latonya","black","no","chicago","high"
151,"Brad","white","no","chicago","low"
152,"Leroy","black","no","chicago","low"
153,"Emily","white","no","chicago","high"
154,"Latonya","black","no","chicago","low"
155,"Latoya","black","no","chicago","high"
156,"Laurie","white","no","chicago","low"
157,"Aisha","black","no","chicago","high"
