"X","sales","quarter","year","logsales"
1,195027,"Q1",1995,12.18089329
2,161864,"Q2",1995.25,11.99451176
3,167601,"Q3",1995.5,12.02934143
4,171442,"Q4",1995.75,12.0520003
5,244986,"Q1",1996,12.40895635
6,203912,"Q2",1996.25,12.22544381
7,213402,"Q3",1996.5,12.27093299
8,229798,"Q4",1996.75,12.34495594
9,312584,"Q1",1997,12.65262851
10,259800,"Q2",1997.25,12.46766738
11,274510,"Q3",1997.5,12.52274297
12,270452,"Q4",1997.75,12.50784991
13,407788,"Q1",1998,12.91850271
14,324811,"Q2",1998.25,12.69099875
15,330999,"Q3",1998.5,12.70987063
16,326170,"Q4",1998.75,12.695174
17,432207,"Q1",1999,12.97665992
18,341395,"Q2",1999.25,12.74079544
19,360804,"Q3",1999.5,12.79609015
20,358113,"Q4",1999.75,12.78860386
21,532626,"Q1",2000,13.18557477
22,425113,"Q2",2000.25,12.96011029
23,442557,"Q3",2000.5,13.00032455
24,438334,"Q4",2000.75,12.99073646
25,643435,"Q1",2001,13.37457629
26,516660,"Q2",2001.25,13.1551403
27,535584,"Q3",2001.5,13.19111302
28,576552,"Q4",2001.75,13.26482081
29,780799,"Q1",2002,13.56807303
30,622789,"Q2",2002.25,13.34196306
31,648763,"Q3",2002.5,13.38282275
32,638124,"Q4",2002.75,13.3662879
33,923760,"Q1",2003,13.73620758
34,725139,"Q2",2003.25,13.49411864
35,749043,"Q3",2003.5,13.52655167
36,750651,"Q4",2003.75,13.52869611
37,1118148,"Q1",2004,13.9271843
38,902141,"Q2",2004.25,13.71252611
39,917355,"Q3",2004.5,13.72924981
40,927306,"Q4",2004.75,13.74003889
41,1368328,"Q1",2005,14.12910011
42,1085158,"Q2",2005.25,13.89723616
43,1132736,"Q3",2005.5,13.9401465
44,1115067,"Q4",2005.75,13.92442505
45,1666953,"Q1",2006,14.32650797
46,1311520,"Q2",2006.25,14.08669733
47,1337886,"Q3",2006.5,14.10660131
48,1291017,"Q4",2006.75,14.07094084
49,1870731,"Q1",2007,14.44183982
50,1463210,"Q2",2007.25,14.19614321
51,1514420,"Q3",2007.5,14.23054309
52,1743412,"Q4",2007.75,14.37135467
53,2457258,"Q1",2008,14.71455665
54,1866493,"Q2",2008.25,14.43957183
55,1841242,"Q3",2008.5,14.4259509
56,1788919,"Q4",2008.75,14.39712208
57,2466503,"Q1",2009,14.71831192
58,1857550,"Q2",2009.25,14.43476897
59,1878338,"Q3",2009.5,14.4458979
60,1829229,"Q4",2009.75,14.41940512
61,2639158,"Q1",2010,14.78597048
62,2106061,"Q2",2010.25,14.56032994
63,2163181,"Q3",2010.5,14.58709038
64,2097394,"Q4",2010.75,14.55620618
65,3003695,"Q1",2011,14.91535376
66,2350518,"Q2",2011.25,14.67014629
67,2399781,"Q3",2011.5,14.69088804
68,2353833,"Q4",2011.75,14.67155562
69,3390940,"Q1",2012,15.03661773
70,2670282,"Q2",2012.25,14.79769464
71,2727279,"Q3",2012.5,14.81881497
72,2910327,"Q4",2012.75,14.883776
73,3856000,"Q1",2013,15.16514093
74,3027000,"Q2",2013.25,14.92308259
75,3058000,"Q3",2013.5,14.93327167
76,2976000,"Q4",2013.75,14.90609067
77,4239000,"Q1",2014,15.25983795
78,3322000,"Q2",2014.25,15.01607757
79,3377000,"Q3",2014.5,15.0324983
80,3256000,"Q4",2014.75,14.99601001
81,4671000,"Q1",2015,15.35688374
82,3647000,"Q2",2015.25,15.10941547
83,3632000,"Q3",2015.5,15.10529402
84,3438000,"Q4",2015.75,15.05040046
85,4829000,"Q1",2016,15.39014996
86,3696000,"Q2",2016.25,15.12276171
87,3703000,"Q3",2016.5,15.12465386
88,3497000,"Q4",2016.75,15.06741602
